,Sentence,label,transliterated
2934,@SS ENTERTANEMENT 2 Sir joke alla KGF li yela points galu tumba chanagitu nanu rakshith shetty fan nangenu hate illa,Not_offensive,{'kn': '@ಎಸ್ಸ್ ಇಂಟರ್ಟನೆಮೆಂಟ್ 2 ಸಾರ್ ಜೋಕೆ ಅಲ್ಲಾ ಜೆಬ್ ಲಿ ಎಲ್ಯ ಪಾಯಿಂಟ್ಸ್ ಗಳು ತುಂಬ ಚಂಗಾಗಿತು ನಾನು ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಫ್ಯಾನ್ ನಂಗೇನು ಹಾತೆ ಎಲ್ಲಾ'}
2935,En guru song edu,Not_offensive,{'kn': 'ಏನ್ ಗುರು ಸಾಂಗ್ ಎದು'}
2936,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ,Not_offensive,{'kn': 'ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ'}
2937,Youtube channel nalli ASN release promos upload madi sir,Not_offensive,{'kn': 'ಯುಟ್ಯೂಬ್ ಚಾನಲ್ ನಲ್ಲಿ ಆನ್ಸ್ ರಿಲೀಸ್ ಪ್ರೋಮಸ್ ಅಪ್ಲೋಡ್ ಮಾಡಿ ಸಾರ್'}
2938,@VARAPRASAD K K nimmayyi tulla hattava,Offensive_Targeted_Insult_Individual,{'kn': '@ವರಪ್ರಸಾದ್ ಕಿ ಕಿ ನಿಮ್ಮಯ್ಯಿ ತುಲ್ಲಾ ಹತ್ತವ'}
2939,Bro superb keep doing,not-Kannada,{'kn': 'ಬ್ರೋ ಸುಪರ್ಬ್ ಕೀಪ್ ಡಾಂಗ್'}
2940,Parvagilla bidi bejar ilanNam Sandalwood navara manassu nim samudrakkinta vishalavagidenAdakke we welcome you n like younWe like all culture,Offensive_Targeted_Insult_Group,{'kn': 'ಪರ್ವಾಗಿಲ್ಲ ಬೀದಿ ಬಜ್ಜರ್ ಇಲಿನಂ ಸಂದಲ್ವೂದ್ ನವರ ಮನಸ್ಸು ನಿಮ್ ಸಮುದ್ರಕ್ಕಿಂತ ವಿಶಾಲವಸಿದೆಂದದಕ್ಕೆ ವೇ ವೆಲೋಸ್ ಯುಎ ನ್ ಲೈಕ್ ಯುನ್ವೆ ಲೈಕ್ ಆಲ ಕಟರ್'}
2941,Hats up karnataka,not-Kannada,{'kn': 'ಹ್ಯಾಟ್ಸ್ ಅಪ್ ಕರ್ನಾಟಕ'}
2942,ಎಕ್ಸ್‌ಪಾ ಟೇಶನ್ ದಬಲ್ ಹೈತು,Not_offensive,{'kn': 'ಎಕ್ಸ್\u200cಪಾ ಟೇಶನ್ ದಬಲ್ ಹೈತು'}
2943,Super guru neenu tiktak sede galige yeneludru arthagalla,Offensive_Targeted_Insult_Other,{'kn': 'ಸೂಪರ್ ಗುರು ನೀನು ತಿಕ್ತಕ್ ಸೆಡೆ ಗಳಿಗೆ ಏನೆಲುದರು ಅರ್ಥಗಳ್ಳ'}
2944,Jai D boss,not-Kannada,{'kn': 'ಜೈ ಡ್ ಬಾಸ್'}
2945,ನೀ ಬೇಳಿಬೇಕು ಬ್ರದರ್ nಇನ್ನೂ ಎತ್ತರಕ್ಕೆ,Not_offensive,{'kn': 'ನೀ ಬೇಳಿಬೇಕು ಬ್ರದರ್ ನ್ಇನ್ನೂ ಎತ್ತರಕ್ಕೆ'}
2946,Bro nanage tumba bejar agide namm sainikar savinind .china davargi buddi kalsek bro ..,Not_offensive,{'kn': 'ಬ್ರೋ ನನಗೆ ತುಂಬ ಬಜ್ಜರ್ ಆಗಿದೆ ನಮ್ ಸೈನಿಕರ್ ಸೆವಿನಿಂದ .ಚೀನಾ ದಾವರ್ಗಿ ಬುದ್ದಿ ಕಾಲ್ಸೆಕ್ ಬ್ರೋ ..'}
2947,Filam is paka blackbaster,not-Kannada,{'kn': 'ಫಿಲಂ ಐಎಸ್ ಪಾಕ ಬ್ಲಾಕ್ಕೇಟರ್'}
2948,a new milestone in kannada movie,Not_offensive,{'kn': 'ಏ ನ್ಯೂ ಮಿಲಿಸ್ಟನ್ ಇನ್ ಕನ್ನಡ ಮೂವಿ'}
2949,@Kiccha Vitthal ಬಳೆಗಾರ ಫ್ಯಾನ ಆ,Not_offensive,{'kn': '@ಕಿಚ್ಚ ವಿಠಲ್ ಬಳೆಗಾರ ಫ್ಯಾನ ಆ'}
2950,Nange e dia movie est ista agide Andre adu kevala word inda helok agalla,Not_offensive,{'kn': 'ನಂಗೆ ಏ ಡಿಯಾ ಮೂವಿ ಎಸ್ಟ್ ಇಸ್ತ ಆಗಿದೆ ಆಂಡ್ರೆ ಅದು ಕೇವಲ ವರ್ಡ್ ಇಂದ ಹೆಲೋಕ್ ಆಗಲ್ಲ'}
2951,Super song I love it,Not_offensive,{'kn': 'ಸೂಪರ್ ಸಾಂಗ್ ಈ ಲವ್ ಐಟಿ'}
2952,35M+ views,not-Kannada,{'kn': '35ಎಮ್+ ವ್ಯೂಸ್'}
2953,Nivu. Helodu sari china app ban agalebeku,Not_offensive,{'kn': 'ನೀವು. ಹೇಳೊದು ಸಾರಿ ಚೀನಾ ಅಪ್ಪಿ ಬ್ಯಾನ್ ಆಗಲೇಬೇಕು'}
2954,Yavaga Release agutte shetre,Not_offensive,{'kn': 'ಯಾವಾಗ ರಿಲೀಸ್ ಆಗುತ್ತೆ ಶೆಟರ್'}
2955,@nkn havali nin astu urkondilla pa,Offensive_Targeted_Insult_Individual,{'kn': '@ನಿನಿಎನ್ ಹವಳಿ ನೀನ್ ಅಷ್ಟು ಊರುಕೊಂಡಿಲ್ಲ ಪಿಎ'}
2956,Bro nan kade enda nimg gondhu salam.,Not_offensive,{'kn': 'ಬ್ರೋ ನಾನ್ ಕಡೆ ಎಂದ ನಿಂಗ್ ಗೊಂದು ಸಲಾಂ.'}
2957,Super kantha,not-Kannada,{'kn': 'ಸೂಪರ್ ಕಂಠ'}
2958,ಅದ್ಭುತ ಹಾಡು,Not_offensive,{'kn': 'ಅದ್ಭುತ ಹಾಡು'}
2959,ಈ ಸಿನಿಮಾ ಚರಿತ್ರೆ ಸೃಷ್ಟಿ ಮಾಡಲಿ,Not_offensive,{'kn': 'ಈ ಸಿನಿಮಾ ಚರಿತ್ರೆ ಸೃಷ್ಟಿ ಮಾಡಲಿ'}
2960,Movie nodadmele bandhoru like madi nEe movie kuda fan India movie agutthe annoru like madi,Not_offensive,{'kn': 'ಮೂವಿ ನೋಡದ್ಮೆಲೆ ಬಂದೂರು ಲೈಕ್ ಮಾಡಿ ನೀ ಮೂವಿ ಕೂಡಾ ಫ್ಯಾನ್ ಇಂಡಿಯಾ ಮೂವಿ ಆಗುತ್ತೆ ಅನ್ನೋರು ಲೈಕ್ ಮಾಡಿ'}
2961,Wonderful movie,not-Kannada,{'kn': 'ವಂಡರ್ಫುಲ್ ಮೂವಿ'}
2962,Paramvah Music hindi,Not_offensive,{'kn': 'ಪರಮ್ವಃ ಮ್ಯೂಸಿಕ್ ಹಿಂದಿ'}
2963,ಉತ್ತರ ಕರ್ನಾಟಕದ ಭಾಗದಲ್ಲಿ ನಡೆದ ನೈಜ ಘಟನೆ ಆಧಾರಿತ ಕಥಾ ಸಂಗ್ರಹ,Not_offensive,{'kn': 'ಉತ್ತರ ಕರ್ನಾಟಕದ ಭಾಗದಲ್ಲಿ ನಡೆದ ನೈಜ ಘಟನೆ ಆಧಾರಿತ ಕಥಾ ಸಂಗ್ರಹ'}
2964,ನಾನುಗ್  ತುಂಬಾ  ಇಷ್ಟ ಆಯ್ತಾ,Not_offensive,{'kn': 'ನಾನುಗ್ ತುಂಬಾ ಇಷ್ಟ ಆಯ್ತಾ'}
2965,Sir Nimage olleyadaagali,Not_offensive,{'kn': 'ಸಾರ್ ನಿಮಗೆ ಒಳ್ಳೆಯದಾಗಿ'}
2966,U r great sir,not-Kannada,{'kn': 'ಊ ರ್ ಗ್ರೇಟ್ ಸಾರ್'}
2967,This comment deserves more likes,not-Kannada,{'kn': 'ದಿಸ್ ಕಾಮೆಂಟ್ ಡಿಸರ್ವೇಸ್ ಮೋರ್ ಲೈಕ್ಸ್'}
2968,ASN release in nKannada-Dec 27nTelugu-Jan 1stnTamil& Malayalam-Jan 3rdnHindi-jan16thnnAstaralli Ella mobile nalli nodi Mugsirtaare aaga release Maadi Aden record Create maadtaro?n300 koti Beku anta Tweet maadidre saaladu ondu cinemana Janagalige Yav reethi Talupisodu anta gottirbeku.... Kurukshetra ide reethi Promotion ilde haalagi hoytu...Innoo idunnoo hange maadtidaare,Offensive_Untargetede,{'kn': 'ಆನ್ಸ್ ರಿಲೀಸ್ ಇನ್ ನ್ಕನ್ನಡ-ಡೆಕ್ 27ಂಟೆಲುಗು-ಜಾನ್ 1ಸ್ಟಂಟಮಿಲ್& ಮಲಯಾಳಂ-ಜಾನ್ 3ದಂಧ್ಹಿಂದಿ-ಜಾನ್16ತ್ಣ್ಗಸ್ತರಲ್ಲಿ ಎಲ್ಲಾ ಮೊಬೈಲ್ ನಲ್ಲಿ ನೋಡಿ ಮುಗ್ಸಿರ್ತಾರೆ ಆಗ ರಿಲೀಸ್ ಮಾಡಿ ಅಡೆನ್ ರೆಕಾರ್ಡ್ ಕ್ರಿಯೇಟ್ ಮಾಡ್ಟರೋ?ನ್300 ಕೋತಿ ಬೇಕು ಅಂತ ಟ್ವೇಟ್ ಮಾಡಿದ್ರೆ ಸಾಲದು ಒಂದು ಸಿನಿಮಾನ ಜನಗಳಿಗೆ ಯಾ ರೀತಿ ತಲುಪಿಸುದು ಅಂತ ಗೊತ್ತಿರಬೇಕು.... ಕುರುಕ್ಷೇತ್ರ ಇದೇ ರೀತಿ ಪ್ರೊಮೋಷನ್ ಇಲ್ಲೆ ಹಾಳಾಗಿ ಹೋಯ್ತು...ಇನ್ನೂ ಇದಿನ್ನೂ ಹಂಗೆ ಮಾಡ್ತಿದ್ದಾರೆ'}
2969,Unlike madiroru bevarsigalu.,Offensive_Targeted_Insult_Group,{'kn': 'ಉಂಲಿಕೆ ಮಾಡಿರೋರು ಬೀವರ್ಷಿಗಳು.'}
2970,Hello Hindi song,Not_offensive,{'kn': 'ಹೆಲ್ಲೊ ಹಿಂದಿ ಸಾಂಗ್'}
2971,Supperb broo... Sakathagi helidira,Not_offensive,{'kn': 'ಸರ್ಪರ್ಬ್ ಬ್ರೂ... ಸಕತಾಗಿ ಹೇಳಿದರು'}
2972,ಯಾರಾದ್ರೂ ಲಿರಿಕ್ಸ್ ಓದಿದ್ರೆ ಈ ಹಾಡಿನ ಒಳಾರ್ಥ ತಿಳಿಯೋಕೆ ಎಷ್ಟು ಕಷ್ಟ ಇದೆ ಅಂತ ತಿಳಿದಿರುತ್ತೆ...ಅದು ಈ ಹಾಡಿನ twist,Not_offensive,{'kn': 'ಯಾರಾದ್ರೂ ಲಿರಿಕ್ಸ್ ಓದಿದ್ರೆ ಈ ಹಾಡಿನ ಒಳಾರ್ಥ ತಿಳಿಯೋಕೆ ಎಷ್ಟು ಕಷ್ಟ ಇದೆ ಅಂತ ತಿಳಿದಿರುತ್ತೆ...ಅದು ಈ ಹಾಡಿನ ಟ್ವಿಸ್ಟ್'}
2973,@Asif Shaikh hesru adru nettug tilkolo,Offensive_Targeted_Insult_Individual,{'kn': '@ಅಸಿಫ್ ಶೈಕ್ ಹೆಸ್ರು ಅದ್ರು ನೆಟ್ಟಿಗ್ ಟಿಲ್ಕೊಲೊ'}
2974,Full movie kab bajo gay,not-Kannada,{'kn': 'ಫುಲ್ ಮೂವಿ ಕಬ್ ಬಾಗೋ ಗೆ'}
2975,Movie super and climax chapper,not-Kannada,{'kn': 'ಮೂವಿ ಸೂಪರ್ ಆಂಡ್ ಕ್ಲಿಮಕ್ಸ್ ಚಾಪರ್'}
2976,ಹಲೋ ದಿಯಾ ಸಿನಿಮಾ ಸಂಬಂಧಪಟ್ಟವರು ನಿಮ್ಮ ಅಕೌಂಟ್ ಡೀಟೇಲ್ ಕೊಡಿ.. ದುಡ್ಡು ಹಾಕ್ತೀವಿ ಪ್ಲೀಸ್ ಕೊಡಿnಪ್ಲೀಸ್......,Not_offensive,{'kn': 'ಹಲೋ ದಿಯಾ ಸಿನಿಮಾ ಸಂಬಂಧಪಟ್ಟವರು ನಿಮ್ಮ ಅಕೌಂಟ್ ಡೀಟೇಲ್ ಕೊಡಿ.. ದುಡ್ಡು ಹಾಕ್ತೀವಿ ಪ್ಲೀಸ್ ಕೊಡಿನ್ಪ್ಲೀಸ್......'}
2977,Nijave idhu charitre srustiso avatharane bidi,Not_offensive,{'kn': 'ನಿಜವೇ ಇಧು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತರಣೆ ಬೀದಿ'}
2978,Dboss murkha abhimani galu,Offensive_Targeted_Insult_Group,{'kn': 'ಡ್ಯಾಸ್ ಮುರ್ಖ ಅಭಿಮಾನಿ ಗಳು'}
2979,Super rakshit shetty sir stayl  l like,not-Kannada,{'kn': 'ಸೂಪರ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಸಾರ್ ಸ್ಟೇಲ್ ಲಿ ಲೈಕ್'}
2980,So super cute,not-Kannada,{'kn': 'ಸೊ ಸೂಪರ್ ಕೇಟ್'}
2981,Nim uru yavdu,Not_offensive,{'kn': 'ನಿಮ್ ಊರು ಯಾವ್ದು'}
2982,Rashmika fans  ND devarkonda fans urkondirtarea,Offensive_Targeted_Insult_Group,{'kn': 'ರಶ್ಮಿಕ ಫ್ಯಾನ್ಸ್ ಂಡ್ ದೇವರಕೊಂಡ ಫ್ಯಾನ್ಸ್ ಊರ್ಕೊಂದಿರ್ತರಿಯ'}
2983,Daridra rajkaranadinda Kelsane sigtilla guru company factory yella muccho stitili idare,Not_offensive,{'kn': 'ದಾರಿದ್ರ ರಕ್ಕರಣದಿಂದ ಕೆಲ್ಸಣೆ ಸಿಗ್ತಿಲ್ಲ ಗುರು ಕಂಪನಿ ಫ್ಯಾಕ್ಟರಿ ಎಲ್ಲಾ ಮುಚ್ಚೋ ಸ್ಥಿತಿಲಿ ಇದರೆ'}
2984,Nim dhesh bakthi ge Sallut bro I like you,Not_offensive,{'kn': 'ನಿಮ್ ದೇಶ್ ಬಕ್ತಿ ಗೆ ಸಲ್ಲೇಟ್ ಬ್ರೋ ಈ ಲೈಕ್ ಯುಎ'}
2985,s** tara ide,not-Kannada,{'kn': 'ಎಸ್** ತಾರಾ ಇದೇ'}
2986,indian Tiktok ನಿನಾದರು ಕಂಡುಯಿಡಿ ಮಾರಯಾ ಜಾಸ್ತಿ ವದರಬೇಡ,Offensive_Targeted_Insult_Individual,{'kn': 'ಇಂಡಿಯನ್ ಟಿಕ್ಟಾಕ್ ನಿನಾದರು ಕಂಡುಯಿಡಿ ಮಾರಯಾ ಜಾಸ್ತಿ ವದರಬೇಡ'}
2987,Bro nivu yava game adtaiyidara please comment,Not_offensive,{'kn': 'ಬ್ರೋ ನೀವು ಯಾವ ಗೇಮ್ ಅದ್ತಿಯಿಡರ ಪ್ಲೀಸ್ ಕಾಮೆಂಟ್'}
2988,Hands up    matte song kelbeku anta ansorige,Not_offensive,{'kn': 'ಹಂದ ಅಪ್ ಮತ್ತೆ ಸಾಂಗ್ ಕೇಳ್ಬೇಕು ಅಂತ ಅನಂಸೂರಿಗೆ'}
2989,jeevanadalli navu chenagiddaga baro sambandakkinta navu novinnali eddaga Namma na a novinninda ache baro hage maduva sambandakke bele kodbeku so ninge ega arta aytu ankotini,Offensive_Targeted_Insult_Individual,{'kn': 'ಜೀವನದಲ್ಲಿ ನಾವು ಚೆನಾಗಿದ್ದಾಗ ಬರೋ ಸಂಬಂಧಕ್ಕಿಂತ ನಾವು ನೋವಿನ್ನಲಿ ಎದ್ದಾಗ ನಮ್ಮ ನಾ ಏ ನೋವಿನಿಂದ ಆಚೆ ಬರೋ ಹಾಗೆ ಮಾಡುವ ಸಂಬಂದಕ್ಕೆ ಬೆಲೆ ಕೊಡ್ಬೇಕು ಸೊ ನಿಂಗೆ ಈಗ ಅರ್ಟ್ ಆಯ್ತು ಆಂಕೋಟಿನಿ'}
2990,ಇದು ನಮ್ಮ ಉತ್ತರ ಕರ್ನಾಟಕದ ಶೈಲಿಯಲ್ಲಿ ಸಿನಿಮಾ ಆಗಬೇಕು,Not_offensive,{'kn': 'ಇದು ನಮ್ಮ ಉತ್ತರ ಕರ್ನಾಟಕದ ಶೈಲಿಯಲ್ಲಿ ಸಿನಿಮಾ ಆಗಬೇಕು'}
2991,Haha  nija,Not_offensive,{'kn': 'ಹಾಹಾ ನಿಜ'}
2992,ಸೂಪರ್ u r a carrect,Not_offensive,{'kn': 'ಸೂಪರ್ ಊ ರ್ ಏ ಕಾರ್ಕೆಕ್ಟ್'}
2993,Movie good but climax .I cried,not-Kannada,{'kn': 'ಮೂವಿ ಗುಡ್ ಬೂತ್ ಕ್ಲಿಮಕ್ಸ್ .ಈ ಕ್ರೀಡ್'}
2994,Idonde voledagiradu 2020 li,Not_offensive,{'kn': 'ಇದೊಂದೇ ವೊಳೆದಾಗಿರದು 2020 ಲಿ'}
2995,Salute you sir. I met once you. I am happy,not-Kannada,{'kn': 'ಸಲುತೆ ಯುಎ ಸಾರ್. ಈ ಮೆಟ್ ಒನ್ಸ್ ಯುಎ. ಈ ಆಂ ಹ್ಯಾಪಿ'}
2996,Super rakist  setty,not-Kannada,{'kn': 'ಸೂಪರ್ ರಾಕಿಸ್ಟ್ ಶೆಟ್ಟಿ'}
2997,ನೋವು ನಲಿವಿಗೆ ಕಾರಣ...nಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ,Not_offensive,{'kn': 'ನೋವು ನಲಿವಿಗೆ ಕಾರಣ...ನ್ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ'}
2998,+RUDRAGOUDA MARIGOUDRA super,not-Kannada,{'kn': '+ರುದ್ರಗೌಡ ಮರಿಗೌಡ್ರ ಸೂಪರ್'}
2999,Yava game bro edu,Not_offensive,{'kn': 'ಯಾವ ಗೇಮ್ ಬ್ರೋ ಎದು'}
3000,ನಿಜವಾಗಿಯೂ ನಿಮ್ಮ ಮಾತು ಸ್ಪೂರ್ತಿ ..ನಿಮಗೆ ಒಳ್ಳೆಯದು ಆಗಲಿ...,Not_offensive,{'kn': 'ನಿಜವಾಗಿಯೂ ನಿಮ್ಮ ಮಾತು ಸ್ಪೂರ್ತಿ ..ನಿಮಗೆ ಒಳ್ಳೆಯದು ಆಗಲಿ...'}
3001,Jai D Boss,Not_offensive,{'kn': 'ಜೈ ಡ್ ಬಾಸ್'}
3002,Dislikers bayalli shegani Ida....🤫,Offensive_Targeted_Insult_Group,{'kn': 'ಡಿಸ್ಲಿಕರ್ಸ್ ಬಾಯಲ್ಲಿ ಶೆಗಣಿ ಎಡ....🤫'}
3003,very nice speech,not-Kannada,{'kn': 'ವೆರಿ ನೀಸ್ ಸ್ಪೀಚ್'}
3004,ಅಲ್ಲಾ ಅವನು ಅ'ಚುತ್ಯಾ',Not_offensive,"{'kn': ""ಅಲ್ಲಾ ಅವನು ಅ'ಚುತ್ಯಾ'""}"
3005,Nange aaki kastadalli idhene,Offensive_Targeted_Insult_Individual,{'kn': 'ನಂಗೆ ಆಕಿ ಕಷ್ಟದಲ್ಲಿ ಇಧೀನೆ'}
3006,Kalaburgi and Bidar jille janaru like maadi,Not_offensive,{'kn': 'ಕಲಬುರ್ಗಿ ಆಂಡ್ ಬಿದರ್ ಜಿಲ್ಲೆ ಜನರು ಲೈಕ್ ಮಾಡಿ'}
3007,ಎಲ್ಲಾ ಸರಿ ಗುರು,Not_offensive,{'kn': 'ಎಲ್ಲಾ ಸರಿ ಗುರು'}
3008,Super Assam video posted dud,not-Kannada,{'kn': 'ಸೂಪರ್ ಅಸ್ಸಾಂ ವೀಡಿಯೋ ಪೋಸ್ಟ್ ದುಡ್'}
3009,ಹಲೋ ಸಿನಿಮಾ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ.. ಯಾರು ಗೊತ್ತಿಲ್ಲ,Not_offensive,{'kn': 'ಹಲೋ ಸಿನಿಮಾ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ.. ಯಾರು ಗೊತ್ತಿಲ್ಲ'}
3010,Anna full wand ayti song,Offensive_Targeted_Insult_Group,{'kn': 'ಅನ್ನಾ ಫುಲ್ ವಾಂಡ್ ಆಯ್ಟಿ ಸಾಂಗ್'}
3011,ದಿಯಾ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಇದೆ ಎಲ್ಲರೂ ನೊಡಿ ಆದರೆ ಚಿತ್ರಕ್ಕೆ ಸರಿಯಾದ climax ಬೆಕಾಗಿತ್ತು,Offensive_Targeted_Insult_Group,{'kn': 'ದಿಯಾ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಇದೆ ಎಲ್ಲರೂ ನೊಡಿ ಆದರೆ ಚಿತ್ರಕ್ಕೆ ಸರಿಯಾದ ಕ್ಲಿಮಕ್ಸ್ ಬೆಕಾಗಿತ್ತು'}
3012,@Nandi Parthasarathi ನಂದಿನಿ ನಂದಿನಿ ನಿನ್ ತುಲ್ಲಗೆ ನನ್ ರಸ,Offensive_Targeted_Insult_Individual,{'kn': '@ನಂದಿ ಪರ್ಥಸರಾತಿ ನಂದಿನಿ ನಂದಿನಿ ನಿನ್ ತುಲ್ಲಗೆ ನನ್ ರಸ'}
3013,Super rakshit hands up songs super,Not_offensive,{'kn': 'ಸೂಪರ್ ರಕ್ಷಿತ್ ಹಂದ ಅಪ್ ಸಾಂಗ್ಸ್ ಸೂಪರ್'}
3014,Super video anna,Not_offensive,{'kn': 'ಸೂಪರ್ ವೀಡಿಯೋ ಅನ್ನಾ'}
3015,Nice song Sri super  superhit,not-Kannada,{'kn': 'ನೀಸ್ ಸಾಂಗ್ ಶ್ರೀ ಸೂಪರ್ ಸುಪೆರ್ಚಿತ್'}
3016,idu avane Sri man narayan,Not_offensive,{'kn': 'ಇದು ಅವನೇ ಶ್ರೀ ಮ್ಯಾನ್ ನಾರಾಯಣ್'}
3017,Sachin Yalaburgi u,not-Kannada,{'kn': 'ಸಚಿನ್ ಯಲಬುರ್ಗಿ ಊ'}
3018,ಶಂಕರ ಅಶ್ವತ್  ಕಷ್ಟಪಟ್ಟು ಜೀವನ ನಡೆಸುತ್ತಿರುವ ಉತ್ತಮ ಗುಣಮಟ್ಟದ ವಕ್ತಿ,Not_offensive,{'kn': 'ಶಂಕರ ಅಶ್ವತ್ ಕಷ್ಟಪಟ್ಟು ಜೀವನ ನಡೆಸುತ್ತಿರುವ ಉತ್ತಮ ಗುಣಮಟ್ಟದ ವಕ್ತಿ'}
3019,ಕಾಯಕವೇ ಕೈಲಾಸ ಎಂಬ ತತ್ವವನ್ನು ಪಾಲಿಸುತ್ತಿರುವ ಕಲಿಯುಗದ ಮನುಷ್ಯ ಮತ್ತು sir ನಾನು ನಿಮ್ಮ ತಂದೆ k s ಅಶ್ವತ್ಥ್ ಸರ್ ಅವರ ಅಭಿಮಾನಿ,Not_offensive,{'kn': 'ಕಾಯಕವೇ ಕೈಲಾಸ ಎಂಬ ತತ್ವವನ್ನು ಪಾಲಿಸುತ್ತಿರುವ ಕಲಿಯುಗದ ಮನುಷ್ಯ ಮತ್ತು ಸಾರ್ ನಾನು ನಿಮ್ಮ ತಂದೆ ಕಿ ಎಸ್ ಅಶ್ವತ್ಥ್ ಸರ್ ಅವರ ಅಭಿಮಾನಿ'}
3020,Best movie in Kannada🤘🤘🤘,Not_offensive,{'kn': 'ಬೆಸ್ಟ್ ಮೂವಿ ಇನ್ ಕನ್ನಡ🤘🤘🤘'}
3021,KGF 2 songs bartave with bang bang BGMs.,Not_offensive,{'kn': 'ಜೆಬ್ 2 ಸಾಂಗ್ಸ್ ಬರ್ತವೆ ವಿಥ್ ಬ್ಯಾಂಗ್ ಬ್ಯಾಂಗ್ ಬಿಜಿಮ್ಸ್.'}
3022,ಸಕ್ಕತಾಗಿದೆ ಮರಯ,Not_offensive,{'kn': 'ಸಕ್ಕತಾಗಿದೆ ಮರಯ'}
3023,@Rajesh0823 R all//p,not-Kannada,{'kn': '@ರಾಜೇಶ್0823 ರ್ ಆಲ//ಪಿಎಪ್'}
3024,Super rakhit we love u and kannada,Not_offensive,{'kn': 'ಸೂಪರ್ ರಾಖಿತ್ ವೇ ಲವ್ ಊ ಆಂಡ್ ಕನ್ನಡ'}
3025,1.8k dis likesn ನಂಗೆ ಅನ್ಸುತ್ತೆ  🤔🤔ಇವ್ರೆಲ್ಲಾ ರಶ್ಮಿಕ ಮಂದಣ್ಣನ ಫ್ಯಾನ್ಸ್ ಅಂತ,Offensive_Targeted_Insult_Group,{'kn': '1.8ಕಿ ದಿಸ್ ಲೈಕೆನ್ ನಂಗೆ ಅನ್ಸುತ್ತೆ 🤔🤔ಇವ್ರೆಲ್ಲಾ ರಶ್ಮಿಕ ಮಂದಣ್ಣನ ಫ್ಯಾನ್ಸ್ ಅಂತ'}
3026,Communist Sarkar beku bharat dalli nu nam avrige freedom jasti agide,Not_offensive,{'kn': 'ಕಮ್ಯುನಿಸ್ಟ್ ಸರ್ಕರ್ ಬೇಕು ಭಾರತ್ ದಲ್ಲಿ ನೂ ನಾಮ್ ಅವರಿಗೆ ಫ್ರೀಡಂ ಜಾಸ್ತಿ ಆಗಿದೆ'}
3027,Cute kushii Ravi,not-Kannada,{'kn': 'ಕೇಟ್ ಕುಶಿ ರವಿ'}
3028,ಹಿಂದಿ song innu yake relise agilla,Not_offensive,{'kn': 'ಹಿಂದಿ ಸಾಂಗ್ ಇನ್ನು ಯಾಕೆ ರಿಲೀಸ್ ಆಗಿಲ್ಲ'}
3029,Nannu nimma fan sir,Not_offensive,{'kn': 'ನನ್ನು ನಿಮ್ಮ ಫ್ಯಾನ್ ಸಾರ್'}
3030,Yavdadru habba raja Dina dalli release madbekitttu odtittu ..,Not_offensive,{'kn': 'ಯಾವ್ದದ್ರು ಹಬ್ಬ ರಾಜಾ ದಿನ ದಲ್ಲಿ ರಿಲೀಸ್ ಮದ್ಬೇಕಿತ್ತು ಒಂದಿತ್ತು ..'}
3031,Don't Post FAKE videos,Offensive_Targeted_Insult_Group,"{'kn': ""ಡಾನ್'ತ್ ಪೋಸ್ಟ್ ಫೇಕ್ ವಿಡೀಸ್""}"
3032,Big boss kannada dalli ententa kachda jana haktare. Inta Olle janrana haki.,Offensive_Targeted_Insult_Other,{'kn': 'ಬಿಗ್ ಬಾಸ್ ಕನ್ನಡ ದಲ್ಲಿ ಎಂತೆಂತ ಕಚ್ಚಾ ಜನ ಹಕ್ತರೆ. ಇಂತ ಒಳ್ಳೆ ಜನರನ ಹಾಕಿ.'}
3033,Bigg boss nalli kalisri nijwaglu help maadida haage aaguthe intha olle artist ri ivaru kasta dalli iddaare,Not_offensive,{'kn': 'ಬಿಗ್ ಬಾಸ್ ನಲ್ಲಿ ಕ್ಯಾಲಿಸ್ರಿ ನಿಜ್ವಗಳು ಹೆಲ್ಪ್ ಮಾಡಿದ ಹಾಗೆ ಆಗುತ್ತೆ ಇಂಥ ಒಳ್ಳೆ ಆರ್ಟಿಸ್ಟ್ ರಿ ಇವರು ಕಷ್ಟ ದಲ್ಲಿ ಇದ್ದಾರೆ'}
3034,Inta kate matte matte krlbeku ansatte super,Not_offensive,{'kn': 'ಇಂತ ಕತೆ ಮತ್ತೆ ಮತ್ತೆ ಕ್ರಬ್ಬೇಕು ಅಂಸತ್ತೆ ಸೂಪರ್'}
