,tweets,labels
9932,{'kn': 'ಸೂಪ್ ತೊಗರಿ ಟಿಪ್ಪ'},0
9933,  ನೀಸ್ ಸ್ಟೆಪ್ಸ್ ಲೈಕ್ ಚಿಂಚ್ಣೆವಿ,0
9934,{'kn': 'ಅಲ್ಲರೂ ಸ್ವಾಬಿಮಾನ ಲೈಫ್ ಇವರನ್ನು ನೋಡಿ ಕಲಿಯಬೇಕು'},0
9935,{'kn': 'ನಾನು ಇದುವರೆಗೂ ಟಿಕ್ ಟೋಕ್ ಅಪ್ಪಿ ಇನಸ್ನಲ್ ಕೂಡಾ ಮಾಡಿಲ್ಲ ನಾನ್ ಫೋನ್ ಅಲ್ಲಿ. ಬ್ರೋ ಎದೆ ತಾರಾ ವಿಡೀಸ್ ಮಾಡಿ ಟಿಕ್ ಟೋಕ್ ಅಲ್ಲಿ ಸೈತಿರೋರ್ಣ ಇನ್ನೋಮ್ಮೆ ಟಿಕ್ ಟೋಕ್ ಹೆಸರ್ ಕೆಳದ್ರೆ ಭಯ ಪದ್ಬೇಕು ಆ ತಾರಾ ರೋಸ್ಟ್ ಮಾಡಿ ಬ್ರೋ'},0
9936,{'kn': 'ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ'},0
9937,{'kn': 'ಇಂಥ ಒಳ್ಳೆ ವೀಡಿಯೋ ನೂ ದಿಸ್ಲಿಕೆ ಮಾಡಿರೋರು ಎಂತ ಕಚಡ ನಂಮಕ್ಲೀರಬೇಕು🤦🤦🤦🤦'},0
9938,  ಇಂಟರ್ಟೆನ್ಮೆಂಟ್ ಆಂಡ್ರೆ ಹಿಡು ಹುಲಿಯಾ,0
9939,{'kn': 'ಸೂಪರ್ ಸಾಂಗ್ ಹುಲಿಯ'},0
9940,{'kn': 'ಸೂಪರ್... ಜಂಟಲ್ ಮ್ಯಾನ್..... ಆಲ ದ ಬೆಸ್ಟ್'},0
9941,{'kn': 'ಇದು ಚಟಿರೆ ಸೃಷ್ಟಿಸು ಅವತಾರ'},0
9942,{'kn': 'ಅಜನೇಶ ಕಾ ಮ್ಯೂಸಿಕ್ ಕುಚ್ ಹಾಟಿ ಹೇನ್'},0
9943,{'kn': 'ತೆರೆಯ ಅಭಿನಯದ ಇಂದಿದೆ ಜೀವನದ ಪಾತ್ರ'},0
9944,{'kn': 'ಬೆಂಕಿ ಅನ್ನಾ ಬೆಂಕಿ'},0
9945,{'kn': 'ನಾ ಗೊತ್ತಲ ಡ್ ಬಾಸ್ ಫ್ಯಾನ್ಸ್'},0
9946,  ಹೊಂದ ಗುರು ಸಿಂಗ್ಎಾಗ್,0
9947,{'kn': 'ಆರ್ಕೊಬೇಟ್ಕ್ ಗುರು'},0
9948,{'kn': 'ಸೂಪರ್ ಸಾಂಗ್ಸ್'},0
9949,{'kn': 'ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ 🤗'},0
9950,{'kn': '@ಕನ್ನಡಿಗರು ಎಸ್ ನಿಂಗೆ ನಾನು ಎಂತ ಹೇಳಿದೆ ಮಾರಾಯ'},0
9951,{'kn': 'ಸೂಪರ್ ಬ್ರೋ ....ಸೂಪರ್'},0
9952,{'kn': 'ತಿಪ್ಪನ ಸ್ಟೋರಿ ಚಂದವಾಗಿದೆ'},0
9953,{'kn': 'ಐಎಸ್ ಐಟಿ ಸಿಮಿಲರ್ ಟೊ ಸ್ವಗ್ ಸಾಯಿ ಸಲ್ಮಾನ್ ಸಾಂಗ್.. ??'},0
9954,{'kn': 'ಕಿರಿಕ್ ಪಾರ್ಟಿ ಬಾಯ್ಸ್'},0
9955,{'kn': 'ಇದು ಚರಿತ್ರೆ ಸ್ರಷ್ಟಿಸೊ ಅವತಾರಾ'},0
9956,{'kn': '@ಸತಿಶ್ ಎಮ್ ನ್ನೀನ್ ಕ್ಯಾನೋ ಗಂಡು ಸರಿಯಾಗಿ ಮಾತಾಡು ದರ್ಶನ್ ಫ್ಯಾನ್ಸ್ ಬರಿ ಕೆತ್ತಡಗಿ ಮತದ್ತಾರೆ ಟ್ರೋಲ್ ಮಾಡ್ಟಿದರೆ ಇದು ನಿಂಗೆ ಗೊಯ್ಟಿನಾಲಿ ದರ್ಶನ್ ನಾ ಬಿಟರ್ ಯಾರ್ಗು ಸುಪ್ಪೋರ್ಟ್ ಮದೊಳ್ಳ ಅಂಥ ರೋಮೋರ್ಸ್ ಸ್ಪ್ರೆಡ್ ಮಾಡಿದರೆ ಅಡ್ಕೆ ನಂಗು ಆಂಗೆ ಅನುಷ್ಟು ಹೇಲ್ದೆ'},0
9957,{'kn': 'ರಿಪ್ ರಶ್ಮಿಕ ಮಂಡನ್ನ ಇನ್ ಅಡ್ವಾನ್ಸ್'},0
9958,{'kn': 'ಪೃಥ್ವಿ ಅಂಬರ್ ಊ ರ್ ಸುಪರ್ಬ್ ಆಕ್ಟರ್'},0
9959,{'kn': 'ನೀಸ್ ಸಾರ್.ಬೂತ್ ಮೆಸ್ಸೇಜ್ ಮಾಡಿದ್ರೆ ರಿಪಲ್ ಮಾಡಲ್ಲ ತಾವು ಎಲ್ಲಾ ಡೋವ್'},0
9960,{'kn': 'ಸೂಪರ್ ಫಿಲ್ಮ್ ಸಾರ್ ಆಕಾಂಟ್ ನಂಬರ್ ಕೊಡಿ ಅಮೌಂಟ್ ಹಾಕಬೇಕು ನಿಜವಗಳು'},0
9961,{'kn': 'ಅಲ್ಲೋ ಎಲ್ಲೊ ಕೇಲಿಡ್ ನೆನಪು'},0
9962,{'kn': 'ಹ್ಯಾಟ್ಸ್ ಅಫ್ ಬ್ರೋ ಕರೆಕ್ಟಾಗಿ ಹೇಳಿದ್ದೀರ ಬ್ರೋ'},0
9963,{'kn': 'ಸೂಪರ್ ಸಾಂಗ್ 🥰🥰🥰🥰'},0
9964,{'kn': 'ರಕ್ಷಿತ್ ಅನ್ನಾ ನೀ'},0
9965,{'kn': 'ಪರಮ್ವಃ ಮ್ಯೂಸಿಕ್ ಇನ್'},0
9966,{'kn': 'ಸೂಪರ್ ತೊಗರಿ ತಿಪ್ಪ'},0
9967,{'kn': 'ಸರ್ ನೀವು ದುಡಿದು ಬದುಕ್ತಿದಿರ'},0
9968,{'kn': 'ಹೌದು ಇದು ಸಾಕ್ಷಾತ್ ಕೃಷ್ಣ ಕೋಟ ಶಾಪದ ಪರಿಣಾಮ'},0
9969,{'kn': 'ಡೇ ಗೆ 600ಕಿ+ ವ್ಯೂಸ್ ನೆನ್ ಹಾವಳಿ ಗುರು'},0
9970,{'kn': 'ಏನ್ ಗುರು ಅಲ್ಟಿ 1 ನಂಬರ್'},0
9971,{'kn': 'ಥಿಯಾ ಸುಂದರವಾದ ರೋಮ್ಯಾಂಟಿಕ್ ಮಹಾಕಾವ್ಯವಾಗಿದ್ದು'},0
9972,{'kn': 'ಕನ್ನಡ ಫಿಲ್ಮ್ ಇಂಡಸ್ಟ್ರಿ ಅವರೂ ಸಾರ್ ಸೋಲ್ಪಾ ನೋಡಿ ರೀ ಏನ್ ಮಾಡ್ತಾ ಇದಿದ್ರ ಇಂತ ಅಶ್ವಥ್ ಸಾರ್ ಅವರ ಮಗ ಒಂದು ಸಣ್ಣಿ ವೇಷೆ ದಲ್ಲಿ ಕಾಲ್ಸಾ ಕೊಡಿ'},0
9973,{'kn': 'ನಿಮ್ ಬಗ್ಗೆ ನಾನು ಕೈ ಹೆತ್ತಿ ಮುಗಿತಿನಿ ಶಂಕರ್ ಅಶ್ವಥ್ ಸಾರ್'},0
9974,{'kn': 'ನಮ್ಮ ಬಾಸ್ ವಿಷ್ಣುವರ್ಧನ್ ಅವರಿಗೆ ಒಂದು ದಿನ ಪರಸ್ಥಿತಿ ಬಂದಿತ್ತು ಅವರ ಚಿತ್ರಗಳ ಸತತವಾಗಿ ಸೋಲುನ್ನು ಕಂಡವು ಮನೆಯಲ್ಲಿ ಹೇಳಿದರಂತೆ ನನಗೆ ಡ್ರೈವಿಂಗ್ ಬರತ್ತೆ ನಾನು ಡ್ರೈವಿಂಗ್ ಬರತ್ತೆ ಡ್ರೈವಿಂರಾಗಿ ಸೇರುತ್ತೇನೆ ಅಂದರು'},0
9975,  ಸೂಪರ್ ಬ್ರೋ ನಾನ್ ಇದು ವರ್ಗೂ ಟಿಕ್ ಟೋಕ್ ಅಪ್ಪಿ ಇನಸ್ನಲ್ ಮಾಡೆ ಎಲ್ಲಾ,0
9976,{'kn': 'ನಿಜವಾದ ಹೀರೋ ನೀವು ಸಾರ್ ಸ್ವಾಭಿಮಾನದ ಗುರು ನೀವು'},0
9977,{'kn': 'ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ....'},0
9978,{'kn': 'ಬದುಕಿನ ವೈಚಿತ್ಯ್ರ ಮತ್ತು ದುರಂತಗಳಲಿ ಗಳಲಿ ಇದೂ ಓಂದು...ಚೆನ್ನಿಗಿರಿ ಶಂಕ್ರಣ್ಣ'},0
9979,{'kn': 'ಪ್ರಜ್ವಲ್ ಸರ್ ನಟಿಸಿರುವ ಜಂಟಲ್ ಮ್ಯಾನ್ ಚಿತ್ರದ ಟ್ರೈಲರ್ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ ಆಲ್ ದ ಬೆಸ್ಟ್ ಜೆಂಟಲ್ ಮ್ಯಾನ್ ಚಿತ್ರ ತಂಡದವರಿಗೆನ್ಇಷ್ಟ ಇದ್ರೆ ನಮ್ಮ ದೌಲತ್ ಕಿರುಚಿತ್ರದ ಫಸ್ಟ್ ಲುಕ್ ನೋಡಿ ಕೆಳಗೆ ಲಿಂಕ್ ಕೊಟ್ಟಿದ್ದೇವೆನ್'},0
9980,{'kn': 'ಹೋಕ್ ಸ್ಟೇಪ್ ಐಎಸ್ ಅವೆಸೋಮೆ'},0
9981,{'kn': 'ಸೂಪರ್ ಗುರು'},0
9982,{'kn': 'ಹಂದ ಅಪ್ ಗೈಸ್'},0
9983,{'kn': 'ದೇಶ ಬದಲಾವಣೆ ಆಗಬೇಕು ಸರ್'},0
9984,{'kn': 'ಸಾರಿ ಸಾರ್ ನಿಮ್ ಎಲ್ಲಾ ವೀಡಿಯೋ ನಾನ್ ನೋಡಿದಿನಿ ಏನೋ ಮಂಕು ಬಡಿದು ನೋಡೋನ ಹಂತ ಡೌನ್ಲೋಡ್ ಮಾಡಿದ್ದೆ ಏ ವೀಡಿಯೋ ನೋಡಿ ದೆಲೆಟ್ ಮಡಿದಿನಿ ಸಾರ್ ಥಾಂಕ್ಸ್'},0
9985,{'kn': 'ನಾನಿ ಕಂಡ್ ಫುಲ್ ಮೂವಿ'},0
9986,{'kn': 'ಇದು ಚರಿತ್ರೆ ಶ್ರೀಸ್ತಿಸುವ ಅವತಾರ...... 100%....'},0
9987,{'kn': 'ದರ್ಶನ್ ಸಾರ್ ಸ್ವಲ್ಪ ಸಹಾಯ ಮಾಡಿದರೆ'},0
9988,{'kn': 'ಡಿಯಾ ಐಎಸ್ ವಂಡರ್ಫುಲ್ ಮೂವಿ. ಇನ್ನು ಈ ಫಿಮಿನ ಹ್ಯಾಂಗೋವರ್ ಅಲ್ಲೆ ಇದಿನಿ. ಇದು ಹೀಗೆಸ್ಟ್ ಎಂಡ್ಬ್ ರೇಟ್ಡ್ ಕನ್ನಡ ಮೂವಿ 9.4'},0
9989,{'kn': 'ಸೂಪರ್ ಫಿಲ್ಮ್ ಡಿಯಾ'},0
9990,{'kn': '#ನೋ 1 ಇನ್ ಟ್ರೆಂಡಿಂಗ್'},0
9991,{'kn': 'ಚೆನ್ನಾಗಿ ಎದೆ ಸಾಂಗ್ ಸೂಪರ್'},0
9992,  ರೆ ರಿಲೀಸ್ ಮಾಡೆನ್ನಮೆ ಚೇಂಜ್ ಮಾಡೆ,0
9993,{'kn': 'ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ವೇ ಲವ್ ಯುಎ ಸೊ ಮಚ್'},0
9994,  ಸೂಪರ್ ಸಾರ್ ನ್ಯಿಜವಗಳು ನಮ್ಮ ದೇಶ ತುಂಬ ಹಿಂದೆ ಎದೆ ನ್ ಎಡಕ್ಕೆ ನಮ್ಮ ಡೆಶೆಡ್ ರಾಜೀಯ ನೇ ಕರ್ಣ,0
9995,{'kn': 'ಸಂದೀಪ್ ನಿಕಿವಿ ಸೂಪರ್'},0
9996,{'kn': 'ಮೋದಿ ನೋಡಿ ಕಲಿಯಬೇಕು ಬರಿ ಬಾಯಿ ಮಾತಿನಲ್ಲಿ ಹೇಳಿ ಉಪಯೋಗ ಇಲ್ಲ ಚೀನಾ ತರ ಮಾಡಿ ತೋರಿಸು ಅವರು ರಫ್ತು ಮಾಡುವ ಜಿಡಿಪಿ ನಮ್ಮ ಇಡೀ ದೇಶದಲ್ಲಿ ಇಲ್ಲ ಮೋದಿ ನಿನಗೆ ಮತ್ತು ನಿನ್ನ ಸಂಘಿಗಳಿಗೆ ಬರಿ ಹಿಂದು ಮತ್ತು ಮುಸ್ಲಿಂ ಅಂತ ಕೋಮುವಾದ ಮಾಡಿ ನಮ್ಮ ದೇಶವನ್ನು ಪಾತಲಕೆ ನೂಕಿದೆ'},0
9997,{'kn': 'ಮೀಕಾ ಇನ್ಸ್ಟೆರ್ರಮೇರ್ಸ್ ರೋಸ್ಟ್ ನೆಕ್ಸ್ಟ್ ಅನ್ನಾ'},0
9998,{'kn': 'ನಿಮ್ಮ ತಂದೆಯ ನಾನು ಫ್ಯಾನ್ ಹಾಗೆ ನಿಮ್ಮ ಫ್ಯಾನ್ ಸೂಪರ್ ಸರ್'},0
9999,{'kn': 'ಗುರು ಯಾವ ಗೇಮ್ ಎದು'},0
10000,{'kn': 'ವಿಟ್ ಏ ಕಾಮೆಂಟ್'},0
10001,{'kn': 'ಕ್ರಿಯೇಟಿವ್ ಕನ್ನಡಿಗ ಔರ್ ಸೂಪರ್ ನ್ ಟಿಕ್ಟಾಕ್ ಯಸರ್ಸ್ ಗೆ ನೀವೇ ಕಾರ್ಕೆಕ್ಟ್'},0
10002,{'kn': 'ಜೈ ಕನ್ನ ಡಗ'},0
10003,  ಥೂ ನೇಮ್ ಯೋಗ್ಯತೆ ಗೆ ಮಹಾ ವಿಷ್ಣು ಹೆಸರು ಎತ್ತು ಇಂಥ ಮೂವಿ ತೆಗಿತಿರ ನಾಚಿಗೆ ಅಗ್ಬೇಕು ನೆಂಗೆ,0
10004,{'kn': 'ಸೂಪರ್ ಜೈ ಹಿಂದ'},0
10005,{'kn': 'ದಿಸ್ ಲೈಕ್ ಮಾದಿರೊರಿಗೆ ಶ್ರದಂಜಲಿ'},0
10006,{'kn': 'ಸ್ವಗ್ ಸಾಯಿ ಸ್ವಗತ್'},0
10007,{'kn': 'ಗುರು ಸಕಾಠಗೆ ಹೇಲ್ದೆ....ನೀನ್ ಸುಪರ್ಬ್. ...ಸುಪರ್ಬ್ ಅಷ್ಟೇ'},0
10008,  ಐಟಿಎಸ್ ಅಮೇಜಿಂಗ್ ಮೂವಿ ಈ ಥಿಂಕ್ ಪ್ರೊಮೋಷನ್ ಸಾರಿ ಆಗಿಲ್ಲ ಅಂತ ಅನಿಷ್ಟ ಇದೇ,0
10009,{'kn': '@ಪೃಥ್ವಿ ನಾಯಕ್ ನೀನ್ ಅಮ್ಮನ್ ತುಳು ಸುಲೇಮಗ್ನೆ ಗಂಡು'},2
10010,{'kn': 'ಏನ್ ಸಕ್ಕತಾಗಿ ಹೇಳಿದ್ರಿ ಗುರು'},0
10011,{'kn': 'ಆ ನೂರ ಕೋಟಿ ಭಾರತಕ್ಕೆ ಅಲ್ಲ ಇಡಿ ವಿಶ್ವಕ್ಕೆ'},0
10012,{'kn': 'ನಿಮ್ಮ\u200c ಈ ಮಾಹಿತಿಗೆ ಧನ್ಯವಾದ ಸರ್.. ನಾವು ಸಾಮಾನ್ಯ ಜನ\u200c ಜಸ್ಟ್ ವಿಡಿಯೋ ನೋಡ್ಕೊಂಡು\u200c ಇಂಡಿಯಾ ಬಗ್ಗೆ ಯೋಚನೆ\u200c ಮಾಡಿದ್ರು ಅದು\u200c ಉಪಯೋಗ ಆಗಲ್ಲ ಈ ಮಾಹಿತಿ ಕೆಲವೊಂದು ವರ್ಗದ\u200c ಜನರಿಗೆ ಮನಮುಟ್ಟುವಂತೆ ಆಗ್ಬೇಕು\u200c ಆಗ ಏನಾದ್ರು ಚೇಂಜ್ ಅಗಬಹುದೆನೋ ಗೊತ್ತಿಲ್ಲ..'},0
10013,{'kn': 'ಸೂಪರ್ ಸಾಂಗ್'},0
10014,{'kn': 'ಸಾಮಾನ್ಯ ಮನುಷ್ಯ ಶಂಕರ್ ಸರ್ ನಮಗೆ ನೀವು ಮಾದರಿ'},0
10015,{'kn': 'ಸೂಪರ್ ಸ್ಟಾರ್ ಇನ್ ಯುಕೆ ಟಿಪ್ಪ'},0
10016,{'kn': 'ಬ್ರೋ ಏ ಟಿಕ್ಟಾಕ್ ಮಾದೋವರ್ಣ ಮೊದ್ಲು ತುಳ್ದು ಸಾಯಿಸಬೇಕು ...ಂಬಾರಿ ಬಿಲ್ಡಪ್ ಕೊಡ್ ಸೇಡೆಗಳೆ ಎರುಡು ಬರ್ಕ್ ಗಳು'},0
10017,{'kn': '@ಮಹೇಶ ಬಾಬು ಸುಳೆ ಮಗ್ನೆ'},0
10018,{'kn': 'ಕಿ ಜಿಎ ಫ್ ಕಾ ಬಾಪ್.......!!'},0
10019,{'kn': 'ಬೆರೆ ಲ್ಯಾಂಗ್ವೇಜ್ ಕಾಮೆಂಟ್ ಮೆಡ್ಬೆರ್ಡೋ ಹುಲಿಗಳ'},0
10020,{'kn': '@ಧೀ ಪು ನೀನ್ ಬಾಯಿಗೆ .'},2
10021,"{'kn': ""ಕಥೆ ಸರಿಯಾಗಿ ತಿಳಿದುಕೊಳ್ಳಿ..... ಪ್ಲೀಸ್ ಡಾನ್'ತ್ ವರ್ನಲ್ ಗೈಡ್..... ಅಶ್ವತ್ತಾಮ ಶಿವನ ಅವತಾರ.... ಇಂದ್ರನಲ್ಲಿ ಸುಳ್ಳು ಹೇಳಿದಕ್ಕಾಗಿ ಭೂಮಿಯಲ್ಲಿ ದೀರ್ಘ ಕಾಲಿ ಯಾಗಿ ಅವತಾರಿಡಿದರು ಅಷ್ಟೇ...... ಕೃಷ್ಣ ಅವರಿಗೆ ಶಪಿಸಲಿಲ್ಲ""}",0
10022,{'kn': 'ಪ್ರಜ್ಜು ಯಾ ಡ್ರೆಸ್ ಹಾಕುದ್ರು ಸೂಪರ್ ಆಗೆ ಕಂತನೆ ..'},0
10023,{'kn': 'ಗಣೇಶ್ ಭಟ್ -ಅಯ್ಯೊ ಮರಾಯ ನನ್ನಗೆ ನಿನ್ನ ಮನೆ ಮಜ್ಜಿಗೆ ಯಾಕಪ್ಪಾ. ಯಾರಾದರೂ ದಾರಿಹೊಕರಿಗೆ ನಿಡಪ್ಪಾ'},0
10024,{'kn': 'ನಾನ್ ಜೀವನ ಯಾಕ್ ಹಿಂಗಾಯ್ತು ಅಂತ ಕ್ಯಾಮೆರಾ ಮುಂಡೆ ಅಳುತ್ತಾ ಕುತಿರೋ ಜನಗಳ ಮದ್ಯ'},0
10025,{'kn': 'ನಾವೇ ತುಕಾಲಿ ಸ್ಟಾರ್ಸ್ ಅಂತ ಟಿಕ್ ಟಾಕ್ ಮರಿತ ಇದ್ರು ಕೆಲ ಸದೆ ಗಳು ಇವಾಗ ಮನೇಲಿ ಮುಸುರೆ ತಿಕ್ಕಿ ಬಡ್ಡಿತವ'},0
10026,{'kn': 'ಒಬ್ಬ ನಟ ಡ್ರೈವಿಂಗ್ ಮಾಡ್ತಿದಾರೆ ಇದು ನೋವಿನ ಸಂಗತಿ ಒಪ್ಪೀ ಕೊಳ್ಳೋಣ. ಆದ್ರೆ ಒಬ್ಬ ಸಾಮಾನ್ಯ ಮನುಷ್ಯ ಡ್ರೈವಿಂಗ್ ಮಾಡ್ಕೊಂಡೆ ಜೀವ್ನ ಮಾಡ್ತಿರ್ಥನೆ ಅನ್ನೋದನ್ನ ಮರೀಬೇಡಿ ಸ್ನೇಹಿತರೆ'},0
10027,{'kn': 'ಗುರು ನಿನ್ ಹೇಳು ಪ್ರಕಾರ ಯಾರು ಮಾವಿನ್ ಸುಪೋರ್ಟ್ ಮಾಡ್ಬಾರ್ದು'},0
10028,{'kn': 'ನೋ.. 1 ಸೆಕ್ ಸಾಕು ಸುಮ್ಮೆ ಮಂಟಿ ಎಲ್ಲಾ ವೇಸ್ಟ್ ಮತ್ತಾರ'},0
10029,{'kn': 'ತೆಲಿಗ್ರಾಂ ಹಿಡಿ ಬಿಟ್ಟಿದನೆ ಸಾರ್ ಸೊ ಯಾರು ಬರಲ್ಲಾ....'},0
10030,{'kn': 'ಸೂಪರ್ ವೀಡಿಯೋ ಬ್ರೋ'},0
10031,{'kn': 'ಎಲೆ ಅಡಿಕೆ ಅಕಂಡು ಉಗಿ ಗುರು'},0
10032,{'kn': 'ಗುರು ಟೆಕಿ ನಾನ್ ವೈಟ್ ಮಾಡ್ತಿದ್ದೆ ನೀನ್ ವೀಡಿಯೋ ನಾ'},2
10033,  ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಯೋ ಅವತಾರಾ,0
10034,  ಹೌದು ಸ್ವಾಮಿನೀವು ಹೇಳಲಿದ್ದು ಸತ್ಷ್ಯಾಗತುಗಿನ್ ಭಾರತ್ ಎಂಬ ಗ್ರಂಥ ಬರೆದಂತ ಕುಮರ್ವಾಸರೆ ಆ ನಾರಾಯಣ್ ಸಂತರುಈಗಲೂ ಸಹಾ ನಾವು ವೀರಣರೆಯನ್ ಟೆಂಪಲ್ ನೋಡಬಹುದುಇದು ಇರುವದು ಗದಗ ಸಿಟಿ ಯಲ್ಲಿಹುಬ್ಬಳ್ಳಿ ಯಿಂದ 55 ಕೆಂ ಅಂತರದಲ್ಲಿ ಇದೇ,0
10035,{'kn': 'ಅನ್ನಾ ನಾನು ದೇವರ ಹತ್ರ ಕೆಲ್ಕೊಂಟಿನಿ ಏ ಮೂವಿ ಸಾಕ್ಸೆಸ್ ಕಂಡು ನಿಮ್ಮ ಸಿನಿ ಜರ್ನಿ ಯಲ್ಲಿ ಲೈಫ್ ಟರ್ನಿಂಗ್ ಮೂವಿ ಆಗ್ಲಿ ಅಂಥ ....ಗುಡ್ ಲಕ್ ಬ್ರೋ ...ಜೈ ಹನುಮಾನ್ ಸುಪ್ಪೋರ್ಟ್ ಫ್ರಮ್ ಡ್ ಬಾಸ್ ಅಬಿಮಾನಿ'},0
10036,{'kn': 'ಕಿಚ್ಚ ಫ್ಯಾನ್ಸ್ ಕಡೆ ಇಂದ ಕಾಂಗ್ರಾಟುಲೇಷನ್ ಪಂಜು'},0
10037,{'kn': '24 ಮಿಲಿಯನ್ಸ್ ಆದ್ಮೇಲೆ ನೋಡ್ತಾ ಇರೋರು ಲೈಕ್ ಮಾಡಿ'},0
10038,{'kn': 'ಮಾಸ್ ವೀಡಿಯೋ ಮ್ಯೂಸಿಕ್ ಲಿಂಕ್ ಸೆಂಡ್'},0
10039,{'kn': 'ನೀಸ್ ಮ್ಯೂಸಿಕ್ ಸಾರ್'},0
10040,{'kn': 'ಪ್ರಜಾಪ್ರಭುತ್ವದಲ್ಲಿ ಬ್ರಿಟನ್ ರಾಣಿ ಉಳಿಸಿಕೊಂಡರು'},0
10041,{'kn': 'ಕಿಚ್ಚ ಸುದೀಪ ಅಣ್ಣನ ಅಭಿಮಾನಿಗಳಿಂದ ಕಡೆಯಿಂದ ಆಲ್ ದಿ ಬೆಸ್ಟ್ ...ನ್ಚರಿತ್ರೆ ಸೃಷ್ಟಿ ಅಗೋದು ಪಕ್ಕ....'},0
10042,{'kn': 'ನೀನೆ ಕಂಪೋಸ್ ಮಾದಪ್ಪ ಹೋಗು'},0
10043,{'kn': 'ಗುರು....ಈ ಲವ್ ಯುಎ ....ಸಕ್ಕತಾಗಿ...ಹು...ಮಗ...'},0
10044,{'kn': 'ಸೂಪರ್ ಸಾಂಗ್ ಅನ್ನಾ'},0
10045,  ಬ್ರೋ ಹಗಂದರ್ ಜೆಬ್ ಆನ್ಸ್ 5 ಲ್ಯಾಂಗ್ವೇಜ್ ಅಲ್ಲಿ ಬಿಡುಗಡೆ ಅಗುತ್ತೆ ಅವಾಗ ಬೆರೆ ಇಂಡಸ್ಟ್ರಿ ಅವರೂ ಹಾಗೆ ಆಂಡ್ರೆ ಎನಾಗುತ್ತೆ,0
10046,{'kn': 'ಸೋಮೆಗೌಡ ಸೋಮಣ್ಣ ಥ್ಯಾಂಕ್ ಯುಎ'},0
10047,{'kn': 'ಡಿಯಾ ಸೂಪರ್ ಮೂವಿ'},0
10048,{'kn': 'ಹೌದು ಸ್ವಾಮಿ ಇಂತ ನನ್ ಮಕ್ಕಳಿಗೆ ಎಷ್ಟು ಉಗಿದರೂ ಬುದ್ಧಿ ಬರಲ್ಲ ನಮ್ಮಲ್ಲೇ ಹೌರೆ ಶತ್ರುಗಳು ಐ ಡೋಂಟ್ ಲೈಕ್ ಚೈನಾ'},0
10049,  ಡ್ ಬಾಸ್ ಫ್ಯಾನ್ಸ್ ಸಪೋಟ್ ಇರತ್ತೆ 100ಡೇ,0
10050,  ಬೋಳಿ ಮಕ್ಳು ಈ ತಾರಾ ವಿಡೀಸ್ ನೂ ದಿಸ್ಲಿಕೆ ಮಾಡ್ತರೆ,0
10051,{'kn': 'ಯುಎಸ್ಎಾಸ್ಎಾ ಬ್ರಾಂಡ್ ಬೂತ್ ಅದುನ ಪ್ರೊಡ್ಯೂಸ್ ಮಾಡೋಕೆ ಯುಎಸ್ಎಾಸ್ಎಾ ಆಲಿ ಸಿಲ್ಲೆಡ್ ಲೇಬರ್ ಇಲ್ವಲ ಅಡಿಕೆ ಚೀನಾ ದವರು ಮಧ್ಟರೆನ್ನಾಪ್ಪ್ ಮೊಬೈಲ್ ತೊಗೊಂಡು ಚೀನಾ ಕೇ ಇನ್ಸೋಮ್ ಹೋಗುತೆ'},0
10052,{'kn': 'ಇಂಸ್ಟಾನ್ರಂ ಫೆಲೋ ಬ್ಯಾಕ್ ಕೊಡಿ ನ್ಯೂ ಒಬ್ರೆ ಅಲ್ಲಾ ಎರಡು'},0
10053,{'kn': 'ಎಂತ ಶೂಟ್ ಮದ್ಬೇಕ'},0
10054,{'kn': 'ಒಂದೊಂದು ಮಾತು ಚಪ್ಪಲಿ ಹೊಡೆದಂತೆ ಇತ್ತು ಗುರು ಒಬ್ಬೊಬ್ರು ನೋಡಬೇಕಿತ್ತು ಸರ್ ಚೀನಾಗೆ ಹುಟ್ಟಿರುವ ತರಹ ಆಡುತ್ತಾರೆ ನಮ್ಮ ದೇಶದಲ್ಲಿ ಎಷ್ಟು ಜನ ಸೈನಿಕರು ಸಾಯ್ತಾರೆ ಅವರಿಗೆ ಏನಾಗಬೇಕು ಟಿಕ್ ಟಾಕ್ ಲೈಕ್ ಬಂದ್ರೆ ಸಾಕು ನನ್ನ ಕಮೆಂಟ್ ಅಲ್ಲಿ ಏನಾದರೂ ತಪ್ಪಿದ್ದರೆ ಕ್ಷಮಿಸಿ ಜೈ ಹಿಂದ್ ಜೈ ಕರ್ನಾಟಕ ಮಾತೆ'},0
10055,{'kn': 'ಜವರಿ ಟಿಪ್ಪ ಸುಪರ್ಬ್ ರಿ'},0
10056,  ಯಶ್ ಬಾಸ್ ಅಭಿಮಾನಿಗಳಿಂದ ಆಲ ದ ಬೆಸ್ಟ್,0
